Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
h323.test,4096,32,0.267423,0.414048,1.764265,0.55648,1.961846
h323.test,4096,8,0.583315,0.414048,1.764265,0.55648,1.961846
h323.test,4096,4,1.098047,0.414048,1.764265,0.55648,1.961846
h323.test,4096,1,1.907998,0.414048,1.764265,0.55648,1.961846
h323.test,256,32,4.446314,0.385184,0.551468,0.425248,0.67844
h323.test,256,8,0.032267,0.385184,0.551468,0.425248,0.67844
h323.test,256,4,0.057549,0.385184,0.551468,0.425248,0.67844
h323.test,256,1,0.075219,0.385184,0.551468,0.425248,0.67844
halflife2-deathmatch.test,1088400,32,1214.932835,599.89536,874.264371,731.273856,1136.754216
halflife2-deathmatch.test,1088400,8,3385.961076,599.89536,874.264371,731.273856,1136.754216
halflife2-deathmatch.test,1088400,4,5551.224538,599.89536,874.264371,731.273856,1136.754216
halflife2-deathmatch.test,1088400,1,10378.739433,599.89536,874.264371,731.273856,1136.754216
