FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
tsp.test,1162511,16,40.512158,156.595616,198.011321
tsp.test,1162511,8,109.566141,156.595616,198.011321
tsp.test,1162511,1,470.282047,156.595616,198.011321
tsp.test,1048576,32,32.101922,134.744096,169.474107
tsp.test,1048576,16,34.764347,134.744096,169.474107
tsp.test,1048576,8,62.349413,134.744096,169.474107
tsp.test,1048576,1,422.232112,134.744096,169.474107
tsp.test,524288,32,16.023514,68.226016,92.082592
tsp.test,524288,16,26.989668,68.226016,92.082592
tsp.test,524288,8,35.364216,68.226016,92.082592
tsp.test,524288,1,211.290135,68.226016,92.082592
tsp.test,262144,32,7.956128,34.88576,43.519531
tsp.test,262144,16,15.260984,34.88576,43.519531
tsp.test,262144,8,17.264456,34.88576,43.519531
tsp.test,262144,1,105.564366,34.88576,43.519531
tsp.test,131072,32,4.300626,19.016,22.664667
tsp.test,131072,16,7.966255,19.016,22.664667
tsp.test,131072,8,8.594828,19.016,22.664667
tsp.test,131072,1,51.854758,19.016,22.664667
tsp.test,65536,32,6.953204,11.126464,13.030947
tsp.test,65536,16,4.000518,11.126464,13.030947
tsp.test,65536,8,4.636284,11.126464,13.030947
tsp.test,65536,1,25.982763,11.126464,13.030947
tsp.test,32768,32,1.69617,7.238432,8.517862
tsp.test,32768,16,2.506749,7.238432,8.517862
tsp.test,32768,8,2.816356,7.238432,8.517862
tsp.test,32768,1,12.91075,7.238432,8.517862
tsp.test,16384,32,0.882237,3.390432,4.07469
tsp.test,16384,16,1.530575,3.390432,4.07469
tsp.test,16384,8,1.341095,3.390432,4.07469
tsp.test,16384,1,8.537628,3.390432,4.07469
tsp.test,8192,32,0.402147,2.333088,2.84569
tsp.test,8192,16,0.873577,2.333088,2.84569
tsp.test,8192,8,0.839704,2.333088,2.84569
tsp.test,8192,1,4.268569,2.333088,2.84569
tsp.test,4096,32,0.258693,2.029888,2.447942
tsp.test,4096,16,0.49755,2.029888,2.447942
tsp.test,4096,8,0.485329,2.029888,2.447942
tsp.test,4096,1,2.156494,2.029888,2.447942
tsp.test,2048,32,0.134096,2.027072,2.351282
tsp.test,2048,16,0.261138,2.027072,2.351282
tsp.test,2048,8,0.280623,2.027072,2.351282
tsp.test,2048,1,1.488391,2.027072,2.351282
yahoo.test,2627405,32,130.986434,531.04704,616.290577
yahoo.test,2627405,16,141.104084,531.04704,616.290577
yahoo.test,2627405,8,255.523849,531.04704,616.290577
yahoo.test,2627405,1,1808.710108,531.04704,616.290577
yahoo.test,2097152,32,104.553264,424.171776,492.450668
yahoo.test,2097152,16,110.330269,424.171776,492.450668
yahoo.test,2097152,8,237.404465,424.171776,492.450668
yahoo.test,2097152,1,1448.416857,424.171776,492.450668
yahoo.test,1048576,32,52.278556,213.452736,247.019622
yahoo.test,1048576,16,55.137865,213.452736,247.019622
yahoo.test,1048576,8,101.675385,213.452736,247.019622
yahoo.test,1048576,1,720.546363,213.452736,247.019622
yahoo.test,524288,32,28.184515,108.131328,125.444035
